City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port alfred,-33.5906,26.891,61.18,70,100,5.01,ZA,1680114938
84,san patricio,28.017,-97.5169,69.85,65,100,11.12,US,1680114938
85,atuona,-9.8,-139.0333,80.89,75,11,15.59,PF,1680114938
86,port hawkesbury,45.6169,-61.3485,38.79,88,100,10.36,CA,1680114938
87,georgetown,5.4112,100.3354,78.73,94,20,1.14,MY,1680114921
88,barrow,71.2906,-156.7887,3.22,85,75,11.5,US,1680114938
89,chokurdakh,70.6333,147.9167,-26.82,100,100,6.15,RU,1680114938
90,codrington,-38.2667,141.9667,54.48,83,82,7.9,AU,1680114938
91,cockburn town,21.4612,-71.1419,80.56,65,40,11.5,TC,1680114938
92,grindavik,63.8424,-22.4338,44.55,75,75,21.85,IS,1680114939
93,plaridel,14.8872,120.8572,80.58,80,100,3.33,PH,1680114939
94,staryy nadym,65.6118,72.6842,1.98,95,86,17.0,RU,1680114939
95,jamestown,42.097,-79.2353,49.01,42,75,21.99,US,1680114939
96,salalah,17.0151,54.0924,82.49,65,40,3.44,OM,1680114939
97,avarua,-21.2078,-159.775,78.85,83,100,3.44,CK,1680114939
98,taoudenni,22.6783,-3.9836,92.79,7,2,13.67,ML,1680114939
99,esperance,-33.8667,121.9,59.74,84,100,9.31,AU,1680114940
100,general roca,-39.0333,-67.5833,64.72,19,0,0.92,AR,1680114940
101,vanimo,-2.6741,141.3028,77.2,85,100,1.43,PG,1680114940
102,berdigestyakh,62.0989,126.6992,-4.02,100,93,2.73,RU,1680114787
103,grand-santi,4.25,-54.3833,80.96,84,32,4.36,GF,1680114940
104,paragominas,-2.9667,-47.4833,81.93,70,100,2.35,BR,1680114940
105,bobicesti,44.3833,24.15,42.58,44,8,5.19,RO,1680114940
106,comodoro rivadavia,-45.8667,-67.5,57.06,26,75,25.32,AR,1680114940
107,constitucion,-35.3333,-72.4167,65.86,51,4,18.7,CL,1680114724
